run,sample,sample_in_trigger_record,time_in_1ms_period_us,s11_mag_db,s11_phase_unwrapped_deg,master_power,slave_power,state,block_index,pulse_number_in_second,temp_C
PBS3_96 · 18:18:43,PBS3_96,4,4.0,-8.78240198211725,-43.85222674415364,22.1495847881388,2.9317395865288858,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,5,5.0,-8.784546371136038,-43.86743008823882,21.602563323703837,2.857923830301673,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,6,6.0,-8.784301351007493,-43.874676385190256,21.92266945085504,2.9004360909085483,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,7,7.0,-8.786504288663076,-43.89858803839809,21.637348770302413,2.861235577883087,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,8,8.0,-8.787618699743748,-43.91578393932966,21.810284381779297,2.8833639107057483,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,9,9.0,-8.787019875631296,-43.92438921280505,21.66511236920754,2.864566827372933,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,10,10.0,-8.788786141787948,-43.93435446407348,21.73012283459505,2.871994256788534,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,11,11.0,-8.790758137607657,-43.94260395163302,21.71102398900519,2.86816738813582,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,12,12.0,-8.792572557336012,-43.930901118759934,21.69664868982716,2.8650710822108976,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,13,13.0,-8.793522986716587,-43.9256126693784,21.72253462731956,2.8678616701093302,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,14,14.0,-8.793348711971115,-43.927577946994745,21.680477959453658,2.8624241086313758,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,15,15.0,-8.794632186009162,-43.91944918873644,21.698512767151865,2.8639586900659637,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,16,16.0,-8.795550570646517,-43.92358292726434,21.66465679027173,2.858885462732108,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,17,17.0,-8.796619383349976,-43.93771222392783,21.67814726444211,2.85996174409882,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,18,18.0,-8.798379229583656,-43.93601736129521,21.64577110330977,2.854533464044781,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,19,19.0,-8.800561269148453,-43.939200897496136,21.6550591946585,2.854323862636149,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,20,20.0,-8.800293996836139,-43.94195436960662,21.649504441764886,2.853767318578927,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,21,21.0,-8.801252813929873,-43.94388234065126,21.64046342751819,2.8519458513409988,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,22,22.0,-8.801114978500038,-43.94026356033491,21.63105676710444,2.850796646179836,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,23,23.0,-8.801246807037854,-43.93632137578063,21.623375363235724,2.849697797004026,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,24,24.0,-8.802463297939305,-43.929570675284594,21.611139354400223,2.8472875819273136,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,25,25.0,-8.804654979163034,-43.93717044412611,21.595267391260403,2.8437609607222,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,26,26.0,-8.804149973211828,-43.93285940141177,21.592691538169134,2.8437524186774708,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,27,27.0,-8.804838446571356,-43.9256520815857,21.58951972344377,2.842883982256076,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,28,28.0,-8.806236248573622,-43.9331362362672,21.588682395398656,2.8418589078299803,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,29,29.0,-8.806441069575914,-43.930287219837886,21.59951640616689,2.8431509680292844,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,30,30.0,-8.80616464799671,-43.92282317682116,21.59648115778175,2.8429323797514923,Treatment,16728,728,37.0693527271749
PBS3_96 · 18:18:43,PBS3_96,31,31.0,-8.806743112102014,-43.9229051176871,21.584040873113736,2.840916332340667,Treatment,16728,728,37.0693527271749
